Unicode,NAME,PDFDocEncoding,StandardEncoding,MacRomanEncoding,WinAnsiEncoding
U+2014,emdash,204,320,321,227
U+2018,quoteleft,217,140,324,221
U+2019,quoteright,220,47,325,222
U+201A,quotesinglbase,221,270,342,202
U+201C,quotedblleft,215,252,322,223
U+201D,quotedblright,216,272,323,224
U+201E,quotedblbase,214,271,343,204
U+2020,dagger,201,262,240,206
U+2021,daggerdbl,202,263,340,207
U+2022,bullet,200,267,245,225
U+2026,ellipsis,203,274,311,205
U+2030,perthousand,213,275,344,211
U+2039,guilsinglleft,210,254,334,213
U+203A,guilsinglright,211,255,335,233
U+2044,fraction,207,244,332,
U+20AC,Euro,240,,,200
U+2122,trademark,222,,252,231
U+2212,minus,212,,,
U+FB01,fi,223,256,336,
U+FB02,fl,224,257,337,
